"user","freq"
"4a4587d0de4e11e9857aacde48001122",165
"4a45bafade4e11e99e37acde48001122",288
"4a47153ade4e11e9a04eacde48001122",285
"4a474bf6de4e11e980dbacde48001122",270
"4a47beecde4e11e9aea4acde48001122",202
"4a47f568de4e11e98afcacde48001122",215
"4a48cf62de4e11e9a654acde48001122",222
"4a4905d8de4e11e99a50acde48001122",293
"4a4a1b1ade4e11e9a868acde48001122",278
"4a4b99d8de4e11e9ab53acde48001122",288
"4a4bd05ede4e11e987bfacde48001122",297
"4a4c3d6ede4e11e98e3bacde48001122",265
"4a4c73e2de4e11e98b63acde48001122",255
"4a4cab0ade4e11e99c31acde48001122",174
"4a4d4e70de4e11e9a835acde48001122",292
